"filename", "language", "YAML", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "XML", "JavaScript", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/monitors/__tests__/evaluator.test.ts", "TypeScript", 0, 294, 0, 0, 0, 0, 0, 0, 0, 0, 49, 47, 390
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/monitors/definitions.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 115
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/monitors/evaluator.ts", "TypeScript", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 26, 33, 291
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/monitors/query-parser.ts", "TypeScript", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 172
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/notifications/email-alert.ts", "TypeScript", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 313
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/organization.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 83
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/plans.ts", "TypeScript", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 46, 11, 258
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/prisma.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/services/__tests__/service-registry.test.ts", "TypeScript", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 172
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/services/service-registry.ts", "TypeScript", 0, 757, 0, 0, 0, 0, 0, 0, 0, 0, 35, 82, 874
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/session.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 50
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/slug.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/timezone-server.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/timezone.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 81
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/schemas/auth.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/tsconfig.json", "JSON with Comments", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/nssanjeev/Development/Halo/package.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 23
"/Users/nssanjeev/Development/Halo/packages/config/package.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/package.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/deterministic/patterns.ts", "TypeScript", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 145
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/deterministic/security.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 69
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/detection/statistical/baselines.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60
